person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Ernest Dobre,ernestdobre,ernestdobre@acasa.ro,1680929403219,1962-11-12,"Soseaua Diaconescu Nr. 32 Bl. 49  Sc. 90 Ap. 606, Poiana Mare, 483531",0738 930 006,38:eb:ba:3c:47:f8,196.224.197.2,RO41QVPF1970606623118755,2025-06-25 14:50:51,29098,855,100,1969652,65b587bc-2b54-4123-9fa8-a044f49b5329
Iosif Stancu,iosifstancu,iosifstancu@zzup.ro,1880118266492,1932-10-20,"Bulevardul Tudor Nr. 84 Bl. 35  Sc. 71 Ap. 189, Pancota, 902185",0249 535 741,22:18:6f:c4:e9:80,218.103.97.220,RO96KURC6849098522249647,2025-06-25 14:50:51,30779,264,551,60736,0b4a6da6-5b6a-49a6-a282-d570070aee52
Dina Ardelean,dinaardelean,dinaardelean@141.ro,8530919358615,1950-09-28,"Soseaua Olimpiu Nistor Nr. 11, Botosani, 877460",0234 811 409,5e:31:04:af:90:ca,201.218.246.100,RO60LBQS7349897560641240,2025-06-25 14:50:51,33603,465,266,1477390,fde7672c-38ef-40ec-b4a2-cad9ae156bec
Jeana Gheorghiu,jeanagheorghiu,jeanagheorghiu@email.ro,5860514150881,1992-12-23,"Intrarea Tomescu Nr. 806 Bl. 73  Sc. 37 Ap. 273, Prejmer, 397359",0767 893 776,2a:f6:d3:01:d9:8c,84.249.92.221,RO41ICVS5848453370951949,2025-06-25 14:50:51,27601,24,749,207815,d265492a-64c4-4995-a7f8-293699bec35b
Alma Nistor,almanistor,almanistor@141.ro,4670513020536,1947-09-08,"Bulevardul Tudor Nr. 938 Bl. 76  Sc. 58 Ap. 378, Drobeta-Turnu Severin, 950546",0266 526 690,1c:5b:44:91:f4:5c,74.236.96.157,RO10HVOI4135708880877179,2025-06-25 14:50:51,3373,455,577,1803809,d9ce6479-0d64-4688-9ca8-1b289c430c71
Carol Tudor,caroltudor,caroltudor@zzup.ro,5100929031999,1951-04-28,"Soseaua Dochioiu, Radauti, 295519",0724 264 000,22:a0:87:fc:a8:73,132.91.187.78,RO25QOZG5597576824869089,2025-06-25 14:50:51,8834,528,279,1306270,d71ae2b8-5a35-4c93-a916-e408ffe30c97
Basarab Manole,basarabmanole,basarabmanole@141.ro,2490129231654,1985-11-30,"Soseaua Preda Nr. 196 Bl. 32  Sc. 11 Ap. 475, Otopeni, 117388",0748 491 948,c0:5d:e1:76:3d:07,42.10.214.235,RO93GQMS7728013951417966,2025-06-25 14:50:51,20014,584,333,68674,312b9a6d-4a2e-45e3-82ca-126e6b87c71a
Răzvan Stancu,răzvanstancu,răzvanstancu@email.ro,3780716064346,1984-09-28,"Bulevardul Denisa Popa Nr. 46, Popesti-Leordeni, 699691",0256 676 500,90:aa:18:86:c7:4b,157.174.86.190,RO58ARWQ3730671709771913,2025-06-25 14:50:51,28145,214,427,430679,8cad9390-9b1d-41e8-b486-ba145969bd0e
Aristița Pop,aristițapop,aristițapop@post.ro,2090421179876,1988-07-09,"Intrarea Georgescu Nr. 305 Bl. 98  Sc. 79 Ap. 337, Dumbravita, 428475",0755 637 750,50:6c:9c:42:c1:54,46.220.208.194,RO93RJUQ9811676693745737,2025-06-25 14:50:51,23417,308,75,544811,7bfbca2d-1da3-411c-b063-c688112753a8
Basarab Nistor,basarabnistor,basarabnistor@zzup.ro,1680520209115,1936-06-26,"Drumul Toma, Medias, 594690",0243 451 707,a2:3b:87:94:a2:64,21.98.71.48,RO02SANI3928347683917671,2025-06-25 14:50:51,18425,726,611,1167738,9f695b1f-160a-48d0-9480-c7ad9813feae
Bernard Mocanu,bernardmocanu,bernardmocanu@zzup.ro,5220229068747,2024-07-20,"Intrarea Pop, Targu Secuiesc, 388818",0767 339 612,9a:a7:7d:d7:90:d2,139.11.44.254,RO98UUPM4765885284778793,2025-06-25 14:50:51,20757,431,224,454257,c75a8a73-b8d8-49bc-aafe-88335db25bc5
Vera Diaconu,veradiaconu,veradiaconu@email.ro,4031208163831,1989-10-11,"Drumul Florea Nr. 626 Bl. 61  Sc. 71 Ap. 830, Braila, 558994",0250 622 229,94:d9:3e:a8:db:c7,1.39.127.103,RO79LRDV0492720903660305,2025-06-25 14:50:51,16721,606,77,461034,4c37de1a-4659-4ea5-9252-e6f4d8c36521
Paula Stancu,paulastancu,paulastancu@zzup.ro,8790302257569,1949-01-27,"Aleea Toma Dima Nr. 40 Bl. 21  Sc. 27 Ap. 587, Petrila, 667109",0254 412 129,da:c0:3d:a8:15:4c,1.157.161.61,RO87QULG1751000325488664,2025-06-25 14:50:51,18980,219,471,779900,32f427dd-34df-4f62-bbc5-16c29cc99759
Alin Ioniță,alinioniță,alinioniță@post.ro,5210426362863,1922-12-08,"Intrarea Camil Marin Nr. 50 Bl. 67  Sc. 58 Ap. 226, Turnu Magurele, 351575",0765 255 436,02:d5:d7:ff:66:d8,27.53.244.251,RO50FDRZ7797701522189206,2025-06-25 14:50:51,8149,708,365,333863,2be2a941-443d-4360-af37-9fa8cbf575af
Vincențiu Dumitrescu,vincențiudumitrescu,vincențiudumitrescu@acasa.ro,1240318367321,1920-09-10,"Strada Stănescu Nr. 669 Bl. 84  Sc. 36 Ap. 420, Roseti, 607187",0735 519 321,3a:6e:22:12:ea:d1,204.60.206.136,RO39MCKY2212945737539332,2025-06-25 14:50:51,5173,429,372,475560,a93e3ae6-0a9e-4814-b1f3-f726eada1641
Luca Diaconescu,lucadiaconescu,lucadiaconescu@kappa.ro,7680927232602,1975-11-04,"Intrarea Floare Ene Nr. 64, Targu Ocna, 191979",0727 595 661,7a:47:72:72:ec:b8,183.237.98.218,RO52ZOCT3625324880604832,2025-06-25 14:50:51,30451,3,327,1039503,18006403-aa43-4f78-87a8-c570d0c30915
Codrin Stancu,codrinstancu,codrinstancu@zzup.ro,2490110087222,1916-04-14,"Drumul Dochioiu Nr. 22, Busteni, 217728",0757 473 748,72:72:00:bd:85:b2,51.146.132.183,RO85GZPV1190669040103568,2025-06-25 14:50:51,12353,666,6,1036930,5d9ed602-7119-4a8c-8b38-6b23afe4a41a
Sinică Eftimie,sinicăeftimie,sinicăeftimie@post.ro,2190322092772,1947-02-10,"Soseaua Ionescu Nr. 68, Podu Iloaiei, 647415",0253 904 866,90:09:ea:08:4e:52,100.181.82.160,RO59GVWZ6323841851778392,2025-06-25 14:50:51,22791,362,35,1943710,bf4b5aa5-0e66-4bf0-b0aa-3af5469743aa
Marioara Ardelean,marioaraardelean,marioaraardelean@acasa.ro,5360423289461,2003-08-02,"Soseaua Tamara Dima, Toplita, 965947",0236 430 398,ca:72:5e:74:9e:70,63.228.35.205,RO19CTFF5028086501294258,2025-06-25 14:50:51,18093,569,587,1045628,7ddfa6bc-7001-4a31-a6ca-ed7ab42a0186
Iris Preda,irispreda,irispreda@email.ro,3210906437682,1912-07-11,"Drumul Mocanu, Covasna, 722186",0725 559 133,50:8e:67:ad:45:89,112.38.173.208,RO82RNPK4450912264874994,2025-06-25 14:50:51,34598,233,459,109711,35e2b45b-1569-428c-8cca-b841e81da1c6
Iosefina Mazilescu,iosefinamazilescu,iosefinamazilescu@gmail.com,7110301241351,1976-08-27,"Drumul Aanei Nr. 64, Sandominic, 446774",0754 099 871,52:66:7c:ab:c7:d4,132.105.31.248,RO74BSZQ9649849229173370,2025-06-25 14:50:51,17200,141,212,1075641,b62565e4-02bc-4429-a7e3-3462b337229f
